,train,val,test
0,13952_1,19667_0,26805_0
1,13952_0,19694_0,19695_0
2,13959_0,26851_0,26820_0
3,13962_0,19678_0,18852_0
4,13962_1,13960_0,19674_0
5,13963_0,26853_0,13975_0
6,13965_2,18848_6,26842_0
7,13965_0,18848_1,26821_0
8,13965_1,18848_5,18849_0
9,13966_0,18848_4,18849_1
10,13971_0,18848_3,18849_2
11,13974_1,18848_2,13983_0
12,13974_0,18848_0,13983_1
13,18837_0,13981_1,13983_3
14,18839_0,13981_0,13983_2
15,18842_0,13973_1,19676_0
16,19672_0,13973_0,26813_0
17,19677_0,13973_2,26843_0
18,19680_0,26797_0,13964_0
19,19690_0,26800_0,
20,19693_0,18831_0,
21,19697_0,26846_0,
22,19698_0,13961_0,
23,26787_0,13961_1,
24,26788_0,18841_0,
25,26789_0,18841_2,
26,26795_0,18841_1,
27,26798_0,26855_0,
28,26806_0,13958_0,
29,26809_0,13958_3,
30,26815_0,13958_1,
31,26816_0,13958_2,
32,26823_0,26794_0,
33,26829_0,26801_0,
34,26831_0,13954_0,
35,26832_0,26858_0,
36,26835_0,26804_0,
37,26841_0,26839_0,
38,26859_0,13953_0,
39,13955_0,13953_1,
40,13976_0,26791_0,
41,13977_1,18834_0,
42,13977_0,19684_0,
43,13977_2,26844_0,
44,13979_0,26849_0,
45,13980_0,18847_0,
46,13980_1,18847_6,
47,13980_2,18847_8,
48,18829_0,18847_9,
49,18830_0,18847_4,
50,18832_0,18847_1,
51,18833_0,18847_10,
52,18835_0,18847_5,
53,18836_0,18847_7,
54,18836_1,18847_2,
55,18838_0,18847_3,
56,18840_4,19692_0,
57,18840_3,19669_0,
58,18840_1,18827_2,
59,18840_5,18827_0,
60,18840_2,18827_1,
61,18840_0,18844_0,
62,18843_1,26799_0,
63,18843_0,13978_1,
64,18845_0,13978_0,
65,18846_0,13957_0,
66,18851_0,13972_0,
67,19675_0,13972_1,
68,19681_0,19691_0,
69,19685_0,,
70,19689_0,,
71,19700_0,,
72,26790_0,,
73,26793_0,,
74,26802_0,,
75,26803_0,,
76,26807_0,,
77,26808_0,,
78,26810_0,,
79,26811_0,,
80,26814_0,,
81,26817_0,,
82,26822_0,,
83,26824_0,,
84,26825_0,,
85,26826_0,,
86,26828_0,,
87,26833_0,,
88,26834_0,,
89,26838_0,,
90,26845_0,,
91,26847_0,,
92,26848_0,,
93,26850_0,,
94,26857_0,,
