,train,val,test
0,13952_1,19672_0,13961_0
1,13952_0,26846_0,13961_1
2,13958_0,13971_0,19678_0
3,13958_3,26832_0,26820_0
4,13958_1,13981_1,13973_1
5,13958_2,13981_0,13973_0
6,13959_0,26798_0,13973_2
7,13960_0,19695_0,19690_0
8,13962_0,19693_0,19694_0
9,13962_1,26797_0,26809_0
10,13963_0,13980_0,26816_0
11,13965_2,13980_1,19698_0
12,13965_0,13980_2,26822_0
13,13965_1,18845_0,26858_0
14,13966_0,13957_0,13979_0
15,13974_1,26857_0,13976_0
16,13974_0,19681_0,26825_0
17,13975_0,26843_0,18835_0
18,18831_0,26802_0,26826_0
19,18837_0,18829_0,13954_0
20,18839_0,26833_0,13964_0
21,18841_0,18840_4,19700_0
22,18841_2,18840_3,26838_0
23,18841_1,18840_1,
24,18842_0,18840_5,
25,18848_6,18840_2,
26,18848_1,18840_0,
27,18848_5,26803_0,
28,18848_4,,
29,18848_3,,
30,18848_2,,
31,18848_0,,
32,18852_0,,
33,19667_0,,
34,19674_0,,
35,19677_0,,
36,19680_0,,
37,19697_0,,
38,26787_0,,
39,26788_0,,
40,26789_0,,
41,26795_0,,
42,26800_0,,
43,26805_0,,
44,26806_0,,
45,26815_0,,
46,26823_0,,
47,26829_0,,
48,26831_0,,
49,26835_0,,
50,26841_0,,
51,26851_0,,
52,26853_0,,
53,26855_0,,
54,26859_0,,
55,13953_0,,
56,13953_1,,
57,13955_0,,
58,13972_0,,
59,13972_1,,
60,13977_1,,
61,13977_0,,
62,13977_2,,
63,13978_1,,
64,13978_0,,
65,13983_0,,
66,13983_1,,
67,13983_3,,
68,13983_2,,
69,18827_2,,
70,18827_0,,
71,18827_1,,
72,18830_0,,
73,18832_0,,
74,18833_0,,
75,18834_0,,
76,18836_0,,
77,18836_1,,
78,18838_0,,
79,18843_1,,
80,18843_0,,
81,18844_0,,
82,18846_0,,
83,18847_0,,
84,18847_6,,
85,18847_8,,
86,18847_9,,
87,18847_4,,
88,18847_1,,
89,18847_10,,
90,18847_5,,
91,18847_7,,
92,18847_2,,
93,18847_3,,
94,18849_0,,
95,18849_1,,
96,18849_2,,
97,18851_0,,
98,19669_0,,
99,19675_0,,
100,19676_0,,
101,19684_0,,
102,19685_0,,
103,19689_0,,
104,19691_0,,
105,19692_0,,
106,26790_0,,
107,26791_0,,
108,26793_0,,
109,26794_0,,
110,26799_0,,
111,26801_0,,
112,26804_0,,
113,26807_0,,
114,26808_0,,
115,26810_0,,
116,26811_0,,
117,26813_0,,
118,26814_0,,
119,26817_0,,
120,26821_0,,
121,26824_0,,
122,26828_0,,
123,26834_0,,
124,26839_0,,
125,26842_0,,
126,26844_0,,
127,26845_0,,
128,26847_0,,
129,26848_0,,
130,26849_0,,
131,26850_0,,
