,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.6038961038961039,0.921875,0.6379310344827587,0.8666666666666667
1,1,0.6804733727810651,0.5569196428571428,0.5769230769230769,0.6
2,2,0.5428921568627451,0.6552287581699346,0.5,0.6285714285714286
3,3,0.6756756756756757,0.6516537649542575,0.3508771929824561,0.6282051282051282
4,4,0.2719907407407407,0.6528846153846154,0.3666666666666667,0.6212121212121212
5,5,0.49189814814814814,0.7027173913043478,0.5,0.6511627906976745
6,6,0.4504830917874396,0.696969696969697,0.421875,0.75
7,7,0.12321428571428572,0.39751552795031053,0.3137254901960784,0.603448275862069
8,8,0.2690166975881262,0.6636155606407322,0.5774647887323944,0.6666666666666667
9,9,0.21714285714285714,0.22318840579710142,0.6,0.3421052631578947
