,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.5568181818181818,0.8850446428571429,0.48275862068965514,0.8
1,1,0.621301775147929,0.8080357142857142,0.5769230769230769,0.75
2,2,0.4350490196078432,0.6552287581699346,0.39655172413793105,0.6285714285714286
3,3,0.7162162162162162,0.34904996481351164,0.6666666666666667,0.4487179487179487
4,4,0.45833333333333337,0.6759615384615385,0.5666666666666667,0.6212121212121212
5,5,0.5381944444444444,0.6951086956521739,0.5,0.6046511627906976
6,6,0.5954106280193237,0.6186868686868686,0.515625,0.625
7,7,0.4017857142857143,0.6124223602484472,0.2941176470588235,0.5862068965517242
8,8,0.6298701298701299,0.5217391304347826,0.5211267605633803,0.5238095238095238
9,9,0.41428571428571426,0.5811594202898551,0.3555555555555555,0.5921052631578947
