,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9166666666666667,0.72,0.9285714285714286,0.676923076923077
1,1,0.8214285714285714,0.474025974025974,0.8,0.45999999999999996
2,2,0.537037037037037,0.563049853372434,0.5238095238095238,0.5471698113207547
3,3,0.7638888888888888,0.7274436090225564,0.6333333333333333,0.6808510638297872
4,4,0.8500000000000001,0.5603864734299517,0.875,0.52
5,5,0.4222222222222223,0.7805429864253394,0.42105263157894735,0.7209302325581395
6,6,0.8253968253968255,0.7076923076923077,0.8125,0.711864406779661
7,7,0.8703703703703703,0.5492424242424242,0.7333333333333334,0.603448275862069
8,8,0.9652777777777778,0.6217948717948718,0.8846153846153846,0.62
9,9,0.8333333333333334,0.7043918918918919,0.8947368421052632,0.6086956521739131
